Дата аукциона,Код  выпуска,Тип бумаги,Дата погашения,Дней до погашения,Объем предложения,Цена отсечения,Цена средневзвешенная,Доходность по цене отсечения,Доходность по средневзве- шенной цене,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Объем выручки,Коэффициент активности,Коэффициент размещения на аукционе,source_file,Доходность по цене отсечения*,Доходность по средневзве- шенной цене*,Тип бумаги*,Доходность по цене отсечения**,Доходность по средневзве- шенной цене**,Коэффициент удовлетворения спроса на аукционе,Дата,Формат*,Тип бумаги**,Доходность по цене отсечения***,Доходность по средневзве- шенной цене***
2015-12-02 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1519.0,7000.0,101.83,101.85,14.29,14.28,26045.584,7000.0,7458.57,3.7207977142857,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-12-09 00:00:00.000000000,52001RMFS,ОФЗ-ИН,2023-08-16 00:00:00.000000000,2807.0,20415.6,99.2,99.3359,2.7,2.68,19465.80299964,13583.72769912,13591.18921088,0.9534769,0.6653602,ofz_2015.xlsx,,,,,,,,,,,
2015-12-16 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3332.0,10000.0,101.65,101.8277,14.64,14.61,9185.0,8185.0,8743.6842,0.9185,0.8185,ofz_2015.xlsx,,,,,,,,,,,
2015-12-16 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1624.0,5000.0,87.12,87.3316,10.31,10.24,18740.0,4999.999,4378.83012635,3.748,0.9999998,ofz_2015.xlsx,,,,,,,,,,,
2015-12-23 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1498.0,6500.0,102.11,102.1624,14.19,14.17,26565.618,6499.999,7000.07067359,4.0870181538462,0.99999984615385,ofz_2015.xlsx,,,,,,,,,,,
,,,,,750787.58,,,,,1830821.5231277,635592.71252585,596520.16612212,2.438534642685,0.84656796337234,ofz_2015.xlsx,,,,,,,,,,,
,,,,,,,,,,,,,,,ofz_2015.xlsx,,,,,,,,,,,
,,,,,,,,,,,,,,,ofz_2016.xlsx,,,,,,,,,,,
1970-01-01 00:00:00.000000001,2,3,1970-01-01 00:00:00.000000004,5.0,6.0,7.0,8.0,,,11.0,12.0,13.0,14.0,15.0,ofz_2016.xlsx,9.0,10.0,,,,,,,,,
2016-01-13 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,714.0,10000.0,101.55000000000001,101.6562,,,16517.109999999997,9522.916,9724.43696883,1.6517109999999997,0.9522915999999999,ofz_2016.xlsx,11.379999999999999,11.31,,,,,,,,,
2016-01-13 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1596.0,7800.0,86.35549999999999,86.54039999999999,,,17460.237,7800.0,6807.560875,2.238491923076923,1.0,ofz_2016.xlsx,10.620000000000001,10.56,,,,,,,,,
2016-01-20 00:00:00.000000000,26207RMFS,ОФЗ-ПД,2027-02-03 00:00:00.000000000,4032.0,8000.0,84.811,85.0496,,,14818.433,8000.0,7079.08842931,1.852304125,1.0,ofz_2016.xlsx,10.780000000000001,10.74,,,,,,,,,
2016-01-20 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3297.0,12000.0,102.58,102.635,,,24993.603,12000.0,13082.64,2.08280025,1.0,ofz_2016.xlsx,14.45,14.44,,,,,,,,,
